144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||
144.049330 -37.464360  --> Census year: 2018 || Block ID: 61 || Property ID: 641556 || Base Property ID: 105718 || CLUE small area: Melbourne (CBD) ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95352 || y coordinate: -37.81542 || Location: (-37.81542, 144.95352) ||

144.961180 -37.715380  --> Census year: 2018 || Block ID: 71 || Property ID: 108962 || Base Property ID: 108962 || CLUE small area: Melbourne (CBD) ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95296 || y coordinate: -37.81438 || Location: (-37.81438, 144.95296) ||

144.951180 -37.443240  --> Census year: 2018 || Block ID: 274 || Property ID: 107697 || Base Property ID: 107696 || CLUE small area: Carlton ||  Trading Name: Carlton Cafe ||  Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.96153 || y coordinate: -37.78492 || Location: (-37.78492, 144.96153) ||

144.951180 -37.443240  --> Census year: 2018 || Block ID: 274 || Property ID: 107699 || Base Property ID: 107696 || CLUE small area: Carlton ||  Trading Name: Princes Hill Tennis Club ||  Industry (ANZSIC4) code: 9113 || Industry (ANZSIC4) description: Sports and Physical Recreation Venues, Grounds and Facilities Operation || x coordinate: 144.96153 || y coordinate: -37.78492 || Location: (-37.78492, 144.96153) ||

144.861180 -37.341440  --> Census year: 2018 || Block ID: 274 || Property ID: 107697 || Base Property ID: 107696 || CLUE small area: Carlton ||  Trading Name: Carlton Cafe ||  Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.96153 || y coordinate: -37.78492 || Location: (-37.78492, 144.96153) ||

144.861180 -37.341440  --> Census year: 2018 || Block ID: 274 || Property ID: 107699 || Base Property ID: 107696 || CLUE small area: Carlton ||  Trading Name: Princes Hill Tennis Club ||  Industry (ANZSIC4) code: 9113 || Industry (ANZSIC4) description: Sports and Physical Recreation Venues, Grounds and Facilities Operation || x coordinate: 144.96153 || y coordinate: -37.78492 || Location: (-37.78492, 144.96153) ||

143.961180 -37.344130  --> Census year: 2018 || Block ID: 274 || Property ID: 107697 || Base Property ID: 107696 || CLUE small area: Carlton ||  Trading Name: Carlton Cafe ||  Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.96153 || y coordinate: -37.78492 || Location: (-37.78492, 144.96153) ||

